Stat,Lior,Alon,Vasi,Yoni,Nadav,Tamir
Games played,40,38,36,41,9,6
Games placed first,9.5,9.5,7.5,12.5,1.0,1.0
Games placed last,11.5,8.0,10.5,6.0,2.0,3.0
Average position grade,0.47,0.54,0.44,0.58,0.46,0.29
Average game score,34.25,35.39,34.17,36.27,32.33,29.67
Highest game score,47,50,55,51,40,36
Lowest game score,16,20,22,24,24,25
Average round score,11.57,11.52,11.44,12.1,11.19,9.67
Highest round score,21,21,22,22,18,17
Lowest round score,1,1,3,5,2,3
Average pudding score,-0.47,0.84,-0.14,-0.02,-1.22,0.67
Average score per card,1.45,1.5,1.45,1.54,1.43,1.29
