Stat,Lior,Alon,Vasi,Yoni,Nadav,Tamir
Games played,40,38,33,41,5,7
Games placed first,9.0,10.5,7.5,13.0,0,1.0
Games placed last,11.5,7.0,9.5,6.0,2.0,5.0
Average position grade,0.46,0.58,0.44,0.58,0.33,0.21
Average game score,34.7,36.37,35.03,36.63,32.6,32.29
Highest game score,47,50,55,51,40,36
Lowest game score,16,20,22,24,24,26
Average round score,11.75,11.6,11.78,12.28,11.8,11.0
Highest round score,21,21,22,22,18,17
Lowest round score,1,1,3,5,3,4
Average pudding score,-0.55,1.58,-0.3,-0.22,-2.8,-0.71
Average score per card,1.45,1.52,1.46,1.53,1.36,1.35
