Stat,Lior,Alon,Vasi,Yoni,Nadav,Tamir
Games played,49,47,39,50,9,9
Games placed first,10.5,13.0,7.5,17.0,1.0,1.0
Games placed last,13.5,10.0,12.5,6.0,2.0,6.0
Average position grade,0.46,0.55,0.41,0.62,0.46,0.19
Average game score,34.86,36.04,34.03,37.22,32.33,30.78
Highest game score,51,50,55,52,40,36
Lowest game score,16,20,22,24,24,25
Average round score,11.87,11.67,11.45,12.31,11.19,10.33
Highest round score,24,21,22,22,18,17
Lowest round score,1,1,3,5,2,3
Average pudding score,-0.76,1.02,-0.33,0.3,-1.22,-0.22
Average score per card,1.46,1.51,1.45,1.56,1.43,1.32
