Stat,Lior,Alon,Vasi,Yoni,Nadav,Tamir
Games played,3,3,0,3,0,0
Games placed first,0,0.5,0,2.5,0,0
Games placed last,1.0,2.0,0,0,0,0
Average position grade,0.33,0.25,None,0.92,None,None
Average game score,43.67,43.0,None,48.0,None,None
Highest game score,51,47,None,52,None,None
Lowest game score,39,36,None,45,None,None
Average round score,15.56,14.67,None,14.67,None,None
Highest round score,24,17,None,20,None,None
Lowest round score,8,12,None,10,None,None
Average pudding score,-3.0,-1.0,None,4.0,None,None
Average score per card,1.62,1.59,None,1.78,None,None
